
103,Gulf Indian High School,AL GARHOUD,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
104,The Indian High School-Branch,AL GARHOUD,Pre primary - GRADE 4 Academic CalendarFees Fact Sheet
105,GEMS Legacy School - Dubai Branch,AL GARHOUD,KG 1 - GRADE 8 Academic CalendarFees Fact Sheet
106,New Indian Model School,AL GARHOUD,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
107,Japanese School,AL WASL,Pre primary - GRADE 9 Academic CalendarFees Fact Sheet
108,Iranian Towheed Boys School,AL QOUZ FIRST,"KG 1 - GRADE 12,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet"
109,Al Adab Iranian Private School for Boys,AL QUSAIS FIRST,"KG 1 - GRADE 12,GRADE 11 - GRADE 12 Academic CalendarFees Fact Sheet"
110,Al Adab Iranian Private School for Girls,AL QUSAIS FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
111,Al Basateen Private Nursery - Hatta Branch,HATTA,KG 1 - KG 2 Academic CalendarFees Fact Sheet
112,Star International School,AL QUSAIS FIRST,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
113,Our Own High School - Dubai Branch,AL WARQA FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
114,Al Nibras International Private School,DUBAI INVESTMENT PARK FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
115,American Academy for Girls,AL MIZHAR FIRST,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
116,Philadelphia Private School,"MUHAISNAH FIRST
","KG 1 - GRADE 12,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet"
117,Sharjah American International Private School,AL WARQA FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
118,Greenwood International School,MUHAISNAH FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
119,Russian International School,MUHAISANAH FOURTH,KG 1 - GRADE 11 Academic CalendarFees Fact Sheet
120,Primus Private School L.L.C,AL WARQA FIRST,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
121,Dar Al Marefa Private School,AL KHWANEEJ FIRST,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
122,Star International School (Branch),MIRDIF,FS 1 - YEAR 12 Academic CalendarFees Fact Sheet
123,Collegiate International School,UMM SUQEIM THIRD,"GRADE 9 - GRADE 12,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet"
124,The Indian International School (Dso Branch),Dubai Silicon Oasis,Pre primary - GRADE 10 Academic CalendarFees Fact Sheet
125,GEMS Winchester School,"Dubai Land
","FS 1 - YEAR 13
"
126,The Indian Academy,MUHAISANAH FOURTH,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
127,Sabari Indian School L.L.C,Deira,Pre primary - GRADE 11 Academic CalendarFees Fact Sheet
128,Springdales School L.L.C,AL QOUZ FOURTH,"YEAR 10 - YEAR 11,Pre primary - GRADE 12
"
129,GEMS International School Al Khail L.L.C,Al Khail,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
130,Next Generation School L.L.C,AL BARSHA FIRST,Pre primary - GRADE 10 Academic CalendarFees Fact Sheet
131,The Arbor School L.L.C,Al Furjan,FS 1 - YEAR 12 Academic CalendarFees Fact Sheet
